<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EESR,60,20070531,160000,31.80900,31.81000,31.53300,31.74500
EESR,60,20070531,170000,31.73700,32.18000,31.72100,32.18000
EESR,60,20070601,100000,32.19900,32.20000,31.66100,31.77800
EESR,60,20070601,110000,31.78400,32.07800,31.61100,31.99000
EESR,60,20070601,120000,31.98900,32.51000,31.84500,32.15000
EESR,60,20070601,130000,32.14100,32.68000,32.14100,32.54000
EESR,60,20070601,140000,32.52200,32.68000,32.41100,32.47000
EESR,60,20070601,150000,32.47700,32.60000,32.30100,32.50600
EESR,60,20070601,160000,32.51500,32.97700,32.45300,32.83000
EESR,60,20070601,170000,32.83800,33.23000,32.83800,33.05600
EESR,60,20070604,100000,32.85000,33.07500,32.60000,32.84500
EESR,60,20070604,110000,32.84000,33.41200,32.75300,32.88000
EESR,60,20070604,120000,32.91500,33.17700,32.68100,32.78500
EESR,60,20070604,130000,32.78900,32.80500,32.40000,32.56000
EESR,60,20070604,140000,32.56000,32.86500,32.52000,32.79000
EESR,60,20070604,150000,32.78200,32.83900,32.41000,32.58500
EESR,60,20070604,160000,32.58500,32.80900,32.47500,32.58400
EESR,60,20070604,170000,32.58500,32.78900,32.52900,32.74800
EESR,60,20070605,100000,32.80000,33.18000,32.80000,33.15200
EESR,60,20070605,110000,33.15900,33.15900,32.92200,32.96100
EESR,60,20070605,120000,32.96200,33.49500,32.92000,33.41800
EESR,60,20070605,130000,33.41800,33.51600,33.33500,33.41900
EESR,60,20070605,140000,33.41400,33.41500,33.22000,33.25000
EESR,60,20070605,150000,33.25000,33.29000,32.92000,33.06300
EESR,60,20070605,160000,33.04700,33.24000,32.92000,32.99000
EESR,60,20070605,170000,32.97900,33.01100,32.77300,32.86100
